,country,1990total,1995total,2000total,2005total,2010total,2015total,2017total,1990male,1995male,2000male,2005male,2010male,2015male,2017male,1990female,1995female,2000female,2005female,2010female,2015female,2017female
13,Burundi,6.2,4.3,2.0,2.3,2.7,2.8,2.8,6.2,4.3,1.9,2.3,2.7,2.8,2.8,6.1,4.3,2.0,2.3,2.7,2.8,2.8
14,Comoros,3.4,2.9,2.5,2.2,1.8,1.6,1.5,3.3,2.8,2.4,2.0,1.7,1.5,1.5,3.6,3.1,2.7,2.3,1.9,1.7,1.6
15,Djibouti,20.7,15.8,14.0,11.8,11.9,12.1,12.1,21.6,16.5,14.7,13.0,12.5,12.7,12.7,19.8,15.1,13.3,10.5,11.4,11.5,11.6
16,Eritrea,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3
17,Ethiopia,2.4,1.4,0.9,0.7,0.6,1.2,1.2,2.5,1.5,1.0,0.7,0.7,1.2,1.2,2.3,1.3,0.9,0.6,0.6,1.1,1.1
18,Kenya,1.3,2.3,2.2,2.1,2.2,2.3,2.2,1.4,2.4,2.2,2.2,2.2,2.3,2.2,1.2,2.2,2.2,2.0,2.2,2.3,2.2
19,Madagascar,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
20,Malawi,11.9,2.4,2.0,1.7,1.4,1.3,1.3,11.8,2.4,2.0,1.6,1.4,1.3,1.2,12.1,2.5,2.1,1.8,1.5,1.4,1.3
21,Mauritius,0.3,0.7,1.3,1.6,2.0,2.3,2.3,0.3,0.6,1.0,1.5,2.1,2.5,2.5,0.3,0.8,1.6,1.7,1.9,2.0,2.0
22,Mayotte,16.1,21.4,30.2,35.5,34.9,30.8,29.4,18.1,23.5,31.0,35.7,33.8,29.0,27.7,13.9,19.2,29.5,35.2,35.9,32.6,31.1
