,country,1990total,1995total,2000total,2005total,2010total,2015total,2017total,1990male,1995male,2000male,2005male,2010male,2015male,2017male,1990female,1995female,2000female,2005female,2010female,2015female,2017female
13,Burundi,333110,254853,125628,172874,235259,289810,299569,163267,124165,61094,84805,115823,142790,147599,169843,130688,64534,88069,119436,147020,151970
14,Comoros,14079,13939,13799,13209,12618,12555,12555,6717,6614,6511,6286,6060,6071,6071,7362,7325,7288,6923,6558,6484,6484
15,Djibouti,122221,99774,100507,92091,101575,112351,116089,64242,52476,52920,51315,53295,59081,61025,57979,47298,47587,40776,48280,53270,55064
16,Eritrea,11848,12400,12952,14314,15676,15941,16041,6228,6542,6856,7729,8603,8833,8889,5620,5858,6096,6585,7073,7108,7152
17,Ethiopia,1155390,806904,611384,514242,567720,1162576,1227143,607284,424117,322219,269725,297534,591876,624222,548106,382787,289165,244517,270186,570700,602921
18,Kenya,297292,618745,699139,756894,926959,1084357,1078572,160852,322189,348594,391310,459343,541644,538724,136440,296556,350545,365584,467616,542713,539848
19,Madagascar,23917,21177,23541,26058,28905,32075,33844,13348,11901,13276,14744,16410,18270,19278,10569,9276,10265,11314,12495,13805,14566
20,Malawi,1127724,241624,232620,221661,217722,232803,237104,546520,116198,111530,105931,103869,110893,112936,581204,125426,121090,115730,113853,121910,124168
21,Mauritius,3613,7493,15543,19647,24836,28585,28713,1763,3228,5705,8943,13188,15832,15903,1850,4265,9838,10704,11648,12753,12810
22,Mayotte,15229,26316,45474,63176,72757,73992,74399,8780,14679,23546,31364,34500,34235,34424,6449,11637,21928,31812,38257,39757,39975
23,Mozambique,122332,168256,195702,204830,214612,238930,246954,66060,91210,103175,102500,104676,116916,120843,56272,77046,92527,102330,109936,122014,126111
24,Réunion,57210,77159,100678,115076,123029,127209,129153,30724,40710,52264,59196,62707,64537,65524,26486,36449,48414,55880,60322,62672,63629
25,Rwanda,159869,233200,347076,432797,436787,441525,443088,80690,117931,175685,217027,218425,220017,220796,79179,115269,171391,215770,218362,221508,222292
26,Seychelles,3721,5148,6574,8997,11420,12791,12926,2204,3021,3837,5820,7804,8954,9049,1517,2127,2737,3177,3616,3837,3877
27,Somalia,478294,19527,20087,20670,23995,41578,44868,244201,10282,10622,11047,12914,21904,23549,234093,9245,9465,9623,11081,19674,21319
28,South Sudan,..,..,..,..,257905,844122,845239,..,..,..,..,132693,430949,431520,..,..,..,..,125212,413173,413719
29,Uganda,558307,634620,634703,652968,529160,1197162,1692120,290084,321360,314325,322421,261646,565433,793851,268223,313260,320378,330547,267514,631729,898269
30,United Republic of Tanzania,574025,1106043,928180,770846,308600,413309,492574,283390,547089,470962,486774,153984,206327,245897,290635,558954,457218,284072,154616,206982,246677
31,Zambia,279029,244338,321167,252749,149637,155428,156982,142807,125329,163620,128553,75775,78545,79331,136222,119009,157547,124196,73862,76883,77651
32,Zimbabwe,626821,431226,410041,392693,397891,403866,403866,352028,246012,233843,223970,226967,227379,229881,274793,185214,176198,168723,170924,176487,173985
