"Major area, region, country or area of destination",Year,Total,TotalYouth,TotalAdult,TotalElder,TotalMale,MaleYouth,MaleAdult,MaleElder,TotalFemale,FemaleYouth,FemaleAdult,FemaleElder
Burundi,1990,333110,86938,230870,15302,163267,41491,114075,7701,169843,45447,116795,7601
Comoros,1990,14079,3656,9973,450,6717,1561,4925,231,7362,2095,5048,219
Djibouti,1990,122221,41767,77766,2688,64242,22913,39825,1504,57979,18854,37941,1184
Eritrea,1990,11848,3311,8197,340,6228,1769,4305,154,5620,1542,3892,186
Ethiopia,1990,1155390,396648,711765,46977,607284,211289,373118,22877,548106,185359,338647,24100
Kenya,1990,297292,109787,172741,14764,160852,58215,94389,8248,136440,51572,78352,6516
Madagascar,1990,23917,4910,15716,3291,13348,2103,9088,2157,10569,2807,6628,1134
Malawi,1990,1127724,569896,525173,32655,546520,266422,264633,15465,581204,303474,260540,17190
Mauritius,1990,3613,1182,2103,328,1763,579,1025,159,1850,603,1078,169
Mayotte,1990,15229,4575,10354,300,8780,2311,6289,180,6449,2264,4065,120
Mozambique,1990,122332,55885,63671,2776,66060,29090,35463,1507,56272,26795,28208,1269
Réunion,1990,57210,19488,35704,2018,30724,9995,19600,1129,26486,9493,16104,889
Rwanda,1990,159869,40818,108659,10392,80690,19547,57558,3585,79179,21271,51101,6807
Seychelles,1990,3721,685,2857,179,2204,358,1761,85,1517,327,1096,94
Somalia,1990,478294,238158,234399,5737,244201,111489,129580,3132,234093,126669,104819,2605
South Sudan,1990,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1990,558307,179337,347582,31388,290084,89963,181373,18748,268223,89374,166209,12640
United Republic of Tanzania,1990,574025,187492,351748,34785,283390,90520,173885,18985,290635,96972,177863,15800
Zambia,1990,279029,95900,171830,11299,142807,48007,88578,6222,136222,47893,83252,5077
Zimbabwe,1990,626821,161731,444142,20948,352028,78684,262992,10352,274793,83047,181150,10596
Middle Africa,1990,1460530,576982,835208,48340,744494,292423,426366,25705,716036,284559,408842,22635
Angola,1990,33517,11666,20545,1306,18142,5523,11879,740,15375,6143,8666,566
Cameroon,1990,265344,94132,165601,5611,145527,50769,91254,3504,119817,43363,74347,2107
Central African Republic,1990,67234,28605,36515,2114,35686,14611,19936,1139,31548,13994,16579,975
Chad,1990,74342,29398,41364,3580,40133,15192,22602,2339,34209,14206,18762,1241
Congo,1990,129597,37215,87320,5062,64418,17269,44404,2745,65179,19946,42916,2317
Democratic Republic of the Congo,1990,754194,327138,400152,26904,363117,163871,186120,13126,391077,163267,214032,13778
Equatorial Guinea,1990,2740,757,1827,156,1465,312,1064,89,1275,445,763,67
Gabon,1990,127980,46536,78129,3315,73053,24207,46963,1883,54927,22329,31166,1432
Sao Tome and Principe,1990,5582,1535,3755,292,2953,669,2144,140,2629,866,1611,152
Northern Africa,1990,2403200,979623,1326684,96893,1230643,473015,708026,49602,1172557,506608,618658,47291
Algeria,1990,273954,70152,179996,23806,150234,39488,96903,13843,123720,30664,83093,9963
Egypt,1990,173708,74199,92496,7013,91928,37001,51862,3065,81780,37198,40634,3948
Libya,1990,457075,135930,313187,7958,242707,44858,194264,3585,214368,91072,118923,4373
Morocco,1990,54895,15311,32790,6794,29024,8675,17434,2915,25871,6636,15356,3879
Sudan,1990,1402896,674827,679019,49050,696385,338324,332901,25160,706511,336503,346118,23890
Tunisia,1990,37984,8694,27122,2168,18900,4407,13508,985,19084,4287,13614,1183
Western Sahara,1990,2688,510,2074,104,1465,262,1154,49,1223,248,920,55
Southern Africa,1990,1392359,258047,1049316,84996,840899,131312,668664,40923,551460,126735,380652,44073
Botswana,1990,27510,8742,18223,545,16614,4453,11845,316,10896,4289,6378,229
Lesotho,1990,8240,2605,5394,241,4318,1290,2932,96,3922,1315,2462,145
Namibia,1990,120641,40873,65682,14086,63748,22431,34860,6457,56893,18442,30822,7629
South Africa,1990,1163883,184926,913585,65372,717227,91729,593833,31665,446656,93197,319752,33707
Swaziland,1990,72085,20901,46432,4752,38992,11409,25194,2389,33093,9492,21238,2363
Western Africa,1990,4470503,1658649,2722688,88783,2392339,799068,1543841,49208,2078164,859581,1178847,39575
Benin,1990,76212,30721,44093,1398,40092,14719,24657,716,36120,16002,19436,682
Burkina Faso,1990,349657,230783,114392,4482,167836,116217,49652,1967,181821,114566,64740,2515
Cabo Verde,1990,8931,3986,4776,169,4429,2024,2348,57,4502,1962,2428,112
Côte d'Ivoire,1990,1816426,387554,1411973,16899,1011749,166009,833571,12169,804677,221545,578402,4730
Gambia,1990,118123,43966,71074,3083,66306,21030,43189,2087,51817,22936,27885,996
Ghana,1990,164851,90383,67102,7366,83030,44763,33825,4442,81821,45620,33277,2924
Guinea,1990,403621,193687,199550,10384,201260,97313,100100,3847,202361,96374,99450,6537
