,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 3 - International migrant stock as a percentage of the total population by sex and by major area, region, country or area, 1990-2017",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock as a percentage of the total population (both sexes),,,,,,,International migrant stock as a percentage of the total population (male),,,,,,,International migrant stock as a percentage of the total population (female),,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017
1,WORLD,,900,,2.9,2.8,2.8,2.9,3.2,3.4,3.4,2.9,2.8,2.8,3.0,3.2,3.4,3.5,2.8,2.8,2.8,2.9,3.1,3.3,3.3
2,More developed regions,b,901,,7.2,7.9,8.7,9.6,10.6,11.2,11.6,7.2,7.9,8.7,9.7,10.5,11.1,11.5,7.1,7.8,8.6,9.6,10.6,11.3,11.7
3,Less developed regions,c,902,,1.7,1.5,1.4,1.4,1.6,1.8,1.8,1.8,1.6,1.5,1.5,1.7,1.9,2.0,1.6,1.4,1.3,1.3,1.4,1.6,1.6
4,Least developed countries,d,941,,2.2,2.0,1.5,1.3,1.2,1.4,1.4,2.2,2.0,1.5,1.3,1.2,1.4,1.4,2.2,2.0,1.5,1.3,1.2,1.4,1.4
