Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,..,1011.595524,1581.600836,1926.357336,1980.516177
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2722.280344,2782.093734,4029.016971,5942.884009,9637.345368,11334.22093,12020.69073
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6616.408352,6777.297778,8093.530893,10971.84687,12610.24805,14614.97043,15275.37422
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,2217.43838,1797.522525,2277.374611,3550.720284,5778.380803,6631.618694,6388.960022
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,10587.59341,12012.90695,14987.41116,18065.80523,18824.07315,21462.28694,23593.93283
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,6990.554045,10129.77779,11810.06136,13817.71407,18333.5437,20356.91551,20786.67933
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2418.860926,1584.60047,2318.238073,4769.489004,6567.258582,8727.558325,9647.486113
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17338.4672,20890.17053,26316.94788,32539.08157,39274.76423,46220.25126,48460.04928
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19452.46636,23658.77108,29375.4048,35013.71404,42047.03268,49883.0413,52397.75435
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5502.433989,2420.444864,3534.329148,7169.150431,15627.60562,17782.02615,17398.16356
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,20031.13314,20576.65729,26149.41714,28849.72996,28630.87037,30249.73823,30430.16948
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,22694.90726,31276.02653,35622.6017,38466.56221,39749.84938,46775.74033,47526.90428
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,832.4340817,1048.184206,1301.463285,1718.402873,2393.315832,3335.759791,3868.822303
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,9329.383963,9903.471761,12260.2352,14381.22563,16085.84958,17525.64926,18639.45174
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5399.405575,3974.93574,5994.557257,9984.19271,15906.7562,18347.1407,18847.93389
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,18768.80691,22530.16064,27983.99612,33332.33135,40091.00999,45414.8906,47840.19714
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,3338.87067,4526.658589,5517.230644,7010.18845,7717.472528,8654.855391,8590.013256
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,945.3767455,1104.637026,1320.889575,1545.698265,1781.987066,2116.036775,2266.231602
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,26210.9109,30621.69158,40535.20826,49877.28411,55254.21412,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,1502.880658,2112.168359,2804.932757,4026.341876,6289.814364,8245.605306,9560.774453
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2396.114889,2993.81087,3497.279428,4180.318268,5298.084512,6955.18277,7559.639404
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,..,1202.660484,4528.613045,6453.186632,9314.886031,11526.42439,12875.9691
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5242.045649,6491.728103,8251.81945,10313.61119,13064.46624,16352.87933,17354.19971
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6686.227659,8073.132315,9012.955425,10950.56977,14243.49214,15656.26667,15483.54083
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,54726.56428,62787.25312,65034.83466,73873.29024,78923.39047,79439.06245,78836.12468
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,5190.796795,5319.71631,6376.857463,10211.31493,14948.59757,18115.23037,20329.34361
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,545.7262408,651.2624504,852.3889727,1127.558743,1394.584727,1699.879935,1869.758161
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,702.8798967,634.1776899,597.7181893,644.7866027,748.3806576,796.9608114,770.9413743
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,1070.914065,1766.821713,3039.919351,4134.497584,5710.344252,6298.803772,6831.460461
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,..,800.6316144,1097.755589,1753.441983,2471.891474,3504.418254,4001.756778
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,1952.243722,1737.992873,2063.823523,2519.090011,2870.562687,3502.407887,3694.199953
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,20107.83069,23354.27219,29185.35506,36134.60224,40027.24021,44647.36423,46704.89472
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,597.8928698,620.9372475,644.4398952,721.2489966,863.3202047,661.8876249,725.9454195
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,717.7127561,758.932736,787.2251187,1596.835983,1886.251061,2201.182699,1941.175568
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,4507.114744,7366.063872,9571.978941,12774.73122,18265.34253,22785.81803,24634.97021
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,986.5683762,1869.46632,2933.314817,5092.559837,9333.124237,14450.09499,16806.74186
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,4869.161847,6155.688861,6585.334138,8248.355342,10680.00301,13827.67279,14552.00856
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1034.101551,1048.324974,1173.817526,1310.265382,1383.929694,1504.716581,1552.24585
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,896.3545346,577.5162017,454.3115405,528.9616984,646.8557934,865.0994627,887.2128626
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3322.420799,3340.817519,3551.092649,4223.074355,5081.432145,5902.429651,5359.074336
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,5033.099942,6533.191429,7829.812962,9817.001194,12737.02018,15694.6192,17044.18856
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2064.231664,2113.226157,2336.356921,2388.432195,2635.837771,3451.877418,3953.381325
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,..,7866.651355,10753.2483,14859.36027,19239.74862,22723.61426,25264.43818
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..,..,..,..,..,..,..
