,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2017 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
,,,,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017,1990,1995,2000,2005,2010,2015,2017
1,WORLD,,900,"5,330,943","5,751,474","6,145,007","6,542,159","6,958,169","7,383,009","7,550,262","2,680,804","2,893,871","3,092,519","3,295,620","3,507,722","3,723,602","3,808,398","2,649,294","2,856,693","3,051,532","3,245,536","3,449,415","3,658,347","3,740,794"
2,More developed regions,b,901,"1,146,999","1,171,325","1,190,505","1,210,546","1,235,143","1,253,207","1,259,922","556,533","568,801","578,600","588,650","600,834","610,274","613,879","590,061","602,101","611,469","621,433","633,830","642,454","645,564"
3,Less developed regions,c,902,"4,183,944","4,580,149","4,954,502","5,331,614","5,723,027","6,129,802","6,290,340","2,124,272","2,325,070","2,513,919","2,706,970","2,906,888","3,113,329","3,194,519","2,059,233","2,254,592","2,440,063","2,624,103","2,815,584","3,015,892","3,095,230"
4,Least developed countries,d,941,"510,828","585,496","664,805","754,118","848,792","956,631","1,002,486","254,357","292,024","331,434","376,071","422,617","476,581","499,538","256,462","293,463","333,361","378,037","426,164","480,039","502,937"
