citizenship,Year,CountryOfExploitation,gender,ageBroad,Count
CO,2002,Unknown,Female,Adult,32
CO,2002,Unknown,Female,Adult-,11
CO,2002,Unknown,Female,Unknown,31
MD,2002,Unknown,Female,Adult,396
MD,2002,Unknown,Female,Adult-,132
MD,2002,Y1,Female,Adult,129
MD,2002,Y1,Female,Adult-,27
RO,2002,BA,Female,Adult,19
RO,2002,BA,Female,Adult-,22
RO,2002,MK,Female,Adult,50
RO,2002,MK,Female,Adult-,46
RO,2002,MK,Female,Youth,25
RO,2002,Unknown,Female,Adult,47
RO,2002,Unknown,Female,Adult-,26
RO,2002,Y1,Female,Adult,13
RO,2002,Y1,Female,Adult-,27
UA,2002,MK,Female,Adult,54
UA,2002,Unknown,Female,Adult,14
UA,2002,Y1,Female,Adult,15
Unknown,2002,Unknown,Unknown,Unknown,13
CO,2003,Unknown,Female,Unknown,22
CO,2003,Unknown,Male,Unknown,15
MD,2003,Unknown,Female,Adult,166
MD,2003,Unknown,Female,Adult-,71
RO,2003,BA,Female,Adult,73
RO,2003,MK,Female,Adult-,19
UA,2003,BA,Female,Adult,13
BY,2004,AE,Female,Adult,12
BY,2004,CY,Female,Adult,12
BY,2004,RU,Female,Adult-,21
BY,2004,RU,Female,Youth,14
MD,2004,MD,Female,Adult,75
MD,2004,MD,Female,Adult-,58
MD,2004,MD,Female,Youth,12
MD,2004,Unknown,Female,Adult,15
MD,2004,Unknown,Female,Adult-,14
UA,2004,RU,Female,Adult-,17
AL,2005,AL,Female,Adult,11
AL,2005,AL,Female,Adult-,23
AL,2005,AL,Female,Youth,11
BG,2005,BG,Female,Adult,35
BG,2005,BG,Female,Adult-,66
BG,2005,BG,Female,Youth,15
BY,2005,AE,Female,Adult,45
BY,2005,AE,Female,Adult-,19
BY,2005,PL,Female,Adult,11
BY,2005,RU,Female,Adult,52
BY,2005,RU,Female,Adult-,36
BY,2005,RU,Female,Youth,20
BY,2005,RU,Male,Adult,70
BY,2005,RU,Male,Adult+,13
BY,2005,RU,Male,Adult-,12
BY,2005,RU,Male,Youth,14
GH,2005,GH,Female,Youth,206
GH,2005,GH,Male,Youth,308
ID,2005,MY,Female,Adult,11
MD,2005,MD,Female,Adult,123
MD,2005,MD,Female,Adult-,61
MD,2005,MD,Female,Youth,15
RO,2005,IT,Female,Adult-,16
RO,2005,RO,Female,Adult,50
RO,2005,RO,Female,Adult-,77
TJ,2005,TJ,Female,Adult,45
UA,2005,BG,Female,Adult,14
UA,2005,PL,Female,Adult,11
UA,2005,RU,Female,Adult,18
UA,2005,RU,Female,Adult-,13
UA,2005,RU,Male,Adult,11
UA,2005,TR,Female,Adult,67
UA,2005,TR,Female,Adult-,40
UZ,2005,UZ,Female,Adult,67
UZ,2005,UZ,Female,Adult-,11
BY,2006,PL,Female,Adult,12
BY,2006,RU,Female,Adult,67
BY,2006,RU,Female,Adult-,27
BY,2006,RU,Male,Adult,120
BY,2006,RU,Male,Adult+,19
BY,2006,RU,Male,Adult-,12
GH,2006,GH,Male,Youth,31
ID,2006,ID,Female,Adult,21
ID,2006,MY,Female,Adult,265
ID,2006,MY,Female,Adult-,54
ID,2006,MY,Female,Youth,27
MD,2006,MD,Female,Adult,118
MD,2006,MD,Female,Adult-,65
MD,2006,MD,Female,Youth,61
MD,2006,MD,Male,Youth,26
MD,2006,TR,Female,Adult-,23
RO,2006,RO,Female,Adult,34
RO,2006,RO,Female,Adult-,61
RO,2006,RO,Female,Youth,14
UA,2006,AE,Female,Adult,17
UA,2006,AE,Female,Adult-,15
UA,2006,CZ,Female,Adult,30
UA,2006,PL,Female,Adult,121
UA,2006,PL,Male,Adult,15
UA,2006,RU,Female,Adult,79
UA,2006,RU,Female,Adult-,42
UA,2006,RU,Female,Youth,11
UA,2006,RU,Male,Adult,74
UA,2006,TR,Female,Adult,54
UA,2006,TR,Female,Adult-,19
BG,2007,BG,Female,Adult,153
BG,2007,BG,Female,Adult-,46
BG,2007,BG,Female,Youth,27
BY,2007,RU,Female,Adult,11
BY,2007,RU,Female,Adult-,15
CD,2007,UG,Female,Youth,25
CD,2007,UG,Male,Youth,28
CI,2007,SN,Male,Youth,31
GW,2007,SN,Male,Youth,85
ID,2007,MY,Female,Adult,76
ID,2007,MY,Female,Adult-,17
ID,2007,MY,Female,Youth,13
MD,2007,MD,Female,Adult,130
MD,2007,MD,Female,Adult-,49
MD,2007,MD,Female,Youth,74
MD,2007,MD,Male,Youth,40
ML,2007,SN,Female,Youth,19
RO,2007,RO,Female,Adult,16
RO,2007,RO,Female,Adult-,21
SN,2007,SN,Male,Youth,14
UA,2007,AE,Female,Adult,38
UA,2007,AE,Female,Adult-,30
UA,2007,AT,Female,Adult,24
UA,2007,CZ,Female,Adult,24
UA,2007,PL,Female,Adult,77
UA,2007,PL,Female,Adult-,11
UA,2007,RU,Female,Adult,57
UA,2007,RU,Female,Adult-,20
UA,2007,RU,Male,Adult,136
UA,2007,RU,Male,Adult-,11
UA,2007,TR,Female,Adult,41
UA,2007,TR,Female,Adult-,18
UA,2007,UA,Female,Adult,81
UA,2007,UA,Female,Adult-,11
BY,2008,RU,Female,Adult,11
GN,2008,SN,Male,Youth,15
KG,2008,KZ,Male,Adult,11
MD,2008,MD,Female,Adult,87
MD,2008,MD,Female,Adult-,56
MD,2008,MD,Female,Youth,50
MD,2008,MD,Male,Youth,48
RO,2008,IT,Female,Adult-,12
SL,2008,SL,Female,Youth,40
SL,2008,SL,Male,Youth,25
SN,2008,SN,Male,Youth,12
UA,2008,UA,Female,Adult,351
UA,2008,UA,Female,Adult-,46
UA,2008,UA,Female,Youth,12
UA,2008,UA,Male,Adult,52
MD,2009,MD,Female,Adult,171
MD,2009,MD,Female,Adult-,46
MD,2009,MD,Female,Youth,135
MD,2009,MD,Male,Adult-,15
MD,2009,MD,Male,Youth,97
UA,2009,RU,Female,Adult,24
UA,2009,RU,Male,Adult,14
UA,2009,UA,Female,Adult,242
UA,2009,UA,Female,Adult-,34
UA,2009,UA,Female,Youth,14
Unknown,2009,EC,Unknown,Unknown,30
Unknown,2009,TT,Unknown,Unknown,11
BF,2010,SN,Male,Adult-,14
BF,2010,SN,Male,Youth,19
BY,2010,RU,Female,Adult,14
CO,2010,EC,Female,Adult,13
GW,2010,SN,Male,Youth,60
KG,2010,KZ,Male,Adult,45
KG,2010,RU,Male,Adult,44
KG,2010,Unknown,Male,Adult,11
KH,2010,TH,Female,Youth,17
KH,2010,TH,Male,Youth,35
KZ,2010,KZ,Female,Adult-,13
LA,2010,TH,Female,Youth,130
MD,2010,MD,Female,Adult,170
MD,2010,MD,Female,Adult+,11
MD,2010,MD,Female,Adult-,61
MD,2010,MD,Female,Youth,177
MD,2010,MD,Male,Adult-,17
MD,2010,MD,Male,Youth,126
ML,2010,SN,Male,Youth,26
MM,2010,TH,Unknown,Youth,58
NE,2010,SN,Male,Youth,31
SN,2010,SN,Male,Youth,44
TM,2010,TM,Female,Adult,15
UA,2010,PL,Female,Adult,29
UA,2010,RU,Female,Adult,11
UA,2010,RU,Male,Adult,63
UA,2010,UA,Female,Adult,184
UA,2010,UA,Female,Adult+,11
UA,2010,UA,Female,Adult-,17
UA,2010,UA,Female,Youth,17
UA,2010,UA,Male,Adult,38
BY,2011,RU,Male,Adult,25
BY,2011,Unknown,Female,Adult,18
BY,2011,Unknown,Female,Youth,17
BY,2011,Unknown,Male,Adult,28
KG,2011,KZ,Male,Adult,27
KG,2011,Unknown,Female,Adult,47
